image,caption
311907717.jpg,a group of young men are putting something together with a board .
3395054199.jpg,a football player in red is getting hit by a player in white .
2148013097.jpg,three young boys looking through a window .
2502935765.jpg,a boy spins on a park playground .
7347276120.jpg,two women are walking on a narrow piece of wood .
522652105.jpg,a girl playing is a pile of colorful balls .
4274444390.jpg,two men standing on some logs next to an open trailer .
3357937209.jpg,three white dogs are near a black llama .
7538888988.jpg,a man practicing his driving swing .
4935646855.jpg,"a man is standing in the street wearing an elaborate outfit which includes a blue t-shirt , suspenders and purple tights ."
412056525.jpg,a little boy prestends to punch another kid in the temple while they are eating lunch .
88767910.jpg,a boy is napping in a sleeping man 's lap .
517942470.jpg,a dog distracts his owner from working at her computer .
3990553639.jpg,this photo shows bickers racing along side a beach .
2416193212.jpg,a woman wearing a backpack walks in front of a purple wall .
48908641.jpg,two men playing guitars are in a building with a stage and lights .
420900246.jpg,a sitting figure kisses a woman with a guitar on her back in front of a body of water .
2176776800.jpg,a group of people are sitting at a table which has glasses of beer on it .
3246724744.jpg,a girl is jumping on the beach with her legs and arms spread .
2258951972.jpg,two large gray dogs running through a grassy field .
4756836245.jpg,a couple look into the camera as the foreground is filled with balloons .
4786476156.jpg,people on a miniature train .
5821457818.jpg,"a child wearing gray pants , green winter coat and black ski cap feeding geese in a lake ."
2433178831.jpg,"a smiling man with long hair and a beard is standing outside , wearing a teal jumpsuit , a hat , and protective ear-gear ."
2786115354.jpg,a man confronts a bull at a rodeo while another man runs and a third attempts to stay out of the way .
3342271377.jpg,people in colorful costumes and masks .
3086523890.jpg,two dogs play together .
263237638.jpg,a line of men wearing white in a martial arts class in the middle of delivering a kick .
915300855.jpg,old guitarist in white clothes performing to an audience .
4516347697.jpg,four people swinging on a swing set .
2771424045.jpg,two adults hug each other .
2860202109.jpg,a black man is wearing sunglasses and a blue shirt with a white undershirt .
4978967141.jpg,girl maneuvers a bike through a tent set up outside .
482642539.jpg,a child hiding behind a post .
248174959.jpg,a woman in a red shirt is sitting on the edge of a high cliff .
3423802527.jpg,a bunch of girls in cheerleader outfits .
3421799315.jpg,a man kissing a boy 's head while sitting in the back of a vehicle .
3492180255.jpg,men are dressed in soccer uniforms .
2215737172.jpg,"a wall with a rainbow leading to a cup of coffee saying joe 's cafe , there are three people sitting on a bench by the wall and , one is playing a guitar ."
2825483885.jpg,an older gentleman rides his bike along the side of a road in a rural area .
2278766574.jpg,"two couples walking on a path adorned with trees , bushes and grass ."
5145970832.jpg,a man is on a skateboard on a red ramp .
6770707007.jpg,"a person wearing a black , white , and yellow uniform is doing a jump on a dirt bike ."
3827243324.jpg,a person with a backpack is walking on a cobblestone path .
275173691.jpg,people walk on a city street near lined parking spaces .
3449846784.jpg,a black and white dog catching a baseball in midair .
7603002860.jpg,big brother shows his sister how to play a game in the backyard in the afternoon .
7680212664.jpg,a man in a red and black life vest kayaks down a rapids .
2823575468.jpg,a young boy runs barefoot while wearing a blue swimsuit .
2477121456.jpg,a black dog splashes in the water .
2573535658.jpg,they are writing while wearing blue .
1332867233.jpg,two children are on the beach and are playing in the wet sand .
4337751447.jpg,a homeless man pushes an overfilled plastic blue shopping cart .
2082663150.jpg,an old man is holding up one dog while his other dog climbs on his lap .
4090879036.jpg,people are lined up wearing life jackets .
1835511273.jpg,a man dressed in a red outfit .
4794753986.jpg,a fan playing a vuvuzela behind a another fan with a red clown wig at a soccer game .
106514190.jpg,a skier pauses on a mountaintop .
3994980815.jpg,two men and one woman sitting at a table with a blue tablecloth .
95017523.jpg,a woman in a blue sweatshirt is shearing the wool off of a lamb .
3665549027.jpg,the two dogs are playing in the yard .
8141029294.jpg,a girl walking through shallow water with a dog behind her .
1819261140.jpg,a man dressed in a dark costume sitting at a restaurant table
2808870080.jpg,a brown dog sniffing at the fence of a brown bull .
570520724.jpg,two men are removing tree branches .
3014169370.jpg,a man in yellow standing between two waterfalls .
7503435144.jpg,a person is riding a dune buggy on a sand dune .
7940671224.jpg,a group of four runners stand for a photo at a track .
3498997518.jpg,a football player in blue grabs a football player in white for a tackle .
2762594886.jpg,these mountains the couple is looking at our beautiful .
2953730430.jpg,a woman is standing in front of a table of condiments .
4773988789.jpg,runners competing in a marathon .
805682444.jpg,the two dogs are white and black and are digging in the mud .
1797507760.jpg,shirtless men hike through a canyon .
8142543165.jpg,fishermen repairing their fish nets .
2374180609.jpg,man in plaid welding something with eye protection on .
2384353160.jpg,"the man is wearing a black hat , a beige shirt and has his sunglasses hanging off the shirt ."
3193022401.jpg,a dance couple dancing on a dance floor with strobe lights flashing .
2793597468.jpg,two people at the base of a waterfall .
4591391059.jpg,a man in a yellow winter coat in ski gear on a snowy mountain .
4873072568.jpg,"a teenage girl is holding a young boy , both are sticking out their tongues ."
2275928920.jpg,two people tend to their table of products at a street market .
1716445442.jpg,a person in a green jacket and black pants lifts a rock .
441212506.jpg,"three dogs playing in a field , one with a ball in its mouth ."
248698033.jpg,asian man takes a nap outside in folding chair .
2970067128.jpg,a person riding a bicycle going over a raised platform .
4760159167.jpg,a bald man wearing a striped shirt standing between columns and a body of water .
1601358043.jpg,a girl with black hair and braces is wearing sunglasses and posing with a wooden robot .
4691655601.jpg,four people playing instruments on a public place .
2265367960.jpg,a child in blue and wearing a hat smiles .
2844126957.jpg,a young boy pounding on an anvil .
5613922717.jpg,male construction worker wearing overalls while sitting on a steel girder .
3518822380.jpg,3 men waiting in casual clothing standing .
4549048831.jpg,a crowd of people are gathered at the start sign for the walk .
2081033707.jpg,woman makes a gingerbread house .
102351840.jpg,two men are ice fishing .
2215770048.jpg,a little girl in a yellow sweater appears to be scared .
4039390335.jpg,"women wearing floral , cultural dresses are standing around a barrel of bread at an outdoor sale ."
4964794183.jpg,a man drinks a purple liquid on a crowded street .
3497224764.jpg,a woman writing while standing by men .
479472539.jpg,two men with beards are walking .
3675878796.jpg,a woman in a bikini is sitting on the sidewalk while texting .
109380144.jpg,a girl playfully kicks a guy in the face while another person makes faces .
458213442.jpg,a dog leaps over a bar on an obstacle course
2712523658.jpg,"a man wearing a blue shirt , dark pants , and a white hat is standing in water with fountains in the background ."
3696261825.jpg,a young man is doing a flip into a lake .
6969258781.jpg,several men are playing ice hockey in an arena .
2896483502.jpg,a black and white dog is catching a frisbee .
86256551.jpg,gentleman business owner loves green aprons and roast duck .
2361367949.jpg,two young siblings walk while holding hands .
6025897064.jpg,a guitarist with a black shirt on stage playing guitar and singing
2460188548.jpg,a woman in a skirt is outside and is running toward a black ball .
4935230194.jpg,male skateboarder jumping over steps during dusk .
6780320278.jpg,a young man leaps in the air while playing basketball .
6960287365.jpg,a girl picks out fresh vegetables at a farmer 's market .
1307094208.jpg,a man wandering in the desert as the clouds roll in .
4595115036.jpg,someone with a bike is buying produce .
1547575241.jpg,a crowd of people are seated together and most are wearing some type of red clothing or hat .
6339937423.jpg,a man on a busy city street is eating something .
4684507723.jpg,"lighted night scene of a military uniformed guard standing outside behind metal street barriers , talking on a radio communications device , in front of a tank ."
1601358043.jpg,a young ( asian ) woman wearing sunglasses and a tan coat is smiling and hugging a wooden robot .
5747873823.jpg,"a shirtless man with multiple earrings , a necklace , and holding drumsticks , is voicing into a microphone behind cymbals ."
4727776685.jpg,a group of people gather around while they are on the boardwalk .
3203593191.jpg,seven men in black hats with white gloves and guns held upright .
4728200662.jpg,"a rock band performing on a stage a guitarist , singer and a drummer"
3182405529.jpg,an older man with long gray hair and a long gray beard bike riding on the shore .
4486440791.jpg,a man with a soda walking by a red and green brick building .
905355838.jpg,a baseball player wearing a number 19 shirt looks at the outfield .
4869820954.jpg,two people in striped shirts sitting at a table .
3535372414.jpg,a woman poses with a small girl in front of a flower bush .
3100442775.jpg,a bmw rider takes a large jump off a wall .
30813349.jpg,a man in a blue shirt and blue jeans standing behind a subway sign .
4981441948.jpg,woman dipping sauce over a bowl of something .
465129973.jpg,this young boy is resting on top of the stacked barricades .
481632457.jpg,an adult australian shepherd follows behind a running australian shepherd puppy .
396154083.jpg,ladies are wearing white bonnets and are standing behind fruits and vegetables .
3373544964.jpg,dog with tongue out looking up at a young boy with glasses
4511353486.jpg,a person in a green jacket and blue cap is walking with a mountain of snow in the background .
3138954134.jpg,a parade in which there is a woman dressed in white on stilts .
475120887.jpg,a young lady plays a violin solo in an urban area .
1678396864.jpg,"an adult woman and a young male child walking along a pier , holding an umbrella , while it 's raining ."
2079491560.jpg,a smiling redheaded woman wearing a blue top and jeans stands beside a white fridge and stove in a small kitchen space .
7998492801.jpg,a football player attempts to run around an on coming tackler from the other team .
2541701582.jpg,a man and a woman ride bikes on the boardwalk .
3385593926.jpg,the dogs are in the snow in front of a fence .
2602827193.jpg,a band recording in the stdio with drums .
1250845715.jpg,two young women drink beer and play guitar in tent at outdoor event .
4483932274.jpg,a man in a red shirt urinates on the side of the road .
4510135650.jpg,person in striped hoodie and jeans standing in front of store
6284009144.jpg,a lady holding herself up by her arms .
4617745058.jpg,a kid with a yellow shirt on looking
1158505981.jpg,an elderly man with glasses pages through a book on a laptop with three other men
4782307890.jpg,a man wearing a black hat and wearing a purple shirt stops to snap a picture .
517094985.jpg,a child is riding a unicycle along a riverside path next to a woman who is walking a dog .
7160600905.jpg,a man in a blue shirt is interviewing a guy in a suit
83191345.jpg,a group of military aid troops are sitting down filling out paperwork in a room .
4890093788.jpg,a woman holding a white purse walking by a glass building .
4798837062.jpg,three hikers a traversing a trail as a young lady inspects her camera .
750196276.jpg,a young boy in a green shirt and green sweatpants running on a concrete floor .
4493390025.jpg,the donut vendor is making money at the carnival .
2880051254.jpg,a black and white dog runs towards the camera .
2531273794.jpg,three people are at the train station .
339658315.jpg,two woman stand near a stroller in a dark building .
2682739228.jpg,a lady is sitting on a bench wearing sunglasses and holding a walking cane .
3518443604.jpg,two people hiding their faces in a doorway .
3551447084.jpg,a motocross rider is traveling along a dirt path with people watching .
3829206624.jpg,a little girl in a blue hat is eating a cupcake .
2273799395.jpg,a group of people hike in skis .
6042855086.jpg,a person is flying through the air attached to a board with a parachute .
7596563022.jpg,two men in jockey uniforms racing horses .
7443809320.jpg,a young girl in a softball shirt waves and smiles .
2603868528.jpg,a tennis player in a white outfit hits a tennis ball .
3128164023.jpg,"two dogs , identical white with brown spots wrestle on jet black sand ."
2305872258.jpg,two young children huddle around a woman on the street between two green and yellow trolleys .
3424851862.jpg,three people climbing rocks .
2273591668.jpg,"two brown dogs wearing orange collars are running through some tall grass , one carrying an orange item ."
3254657077.jpg,"a man , not wearing a shirt , is sitting on a rock and looking through a makeshift telescope ."
4315350257.jpg,a woman in a blue jacket is standing outside in a crowd of people .
2284991229.jpg,men turn to the camera to smile on the middle of three long tables in a refectory .
1457162537.jpg,a man in gray slacks and a sweater vest is walking with his hand in his pocket .
5491045483.jpg,a little girl with a striped pink scarf holds on to the arm of a snowman .
5221111799.jpg,a man is working on an unfinished roof .
7787559618.jpg,two women starting the day with a fulfilling conversation .
5350952226.jpg,three women are dancing in red halter tops .
2466935377.jpg,a woman in white clothes sits on the street .
305673358.jpg,a woman wearing black moving things on ice .
5391728144.jpg,men prepare a sailing ship at a dock .
5769961721.jpg,a young girl attempting to break open a pinata .
7272406870.jpg,baseball player dives for a catch .
5961400525.jpg,"two motocross bikers in their full uniforms , racing together on one 3 wheel motorcycle on a dirt track in the daytime ."
4616320530.jpg,a young boy running in a race .
3042679440.jpg,a crowd scene in a downtown area .
4649988027.jpg,these three girls are wearing summer dresses and playing with the dog in the grass .
4044342247.jpg,a marching band performs on the field .
63787714.jpg,jockeys racing horses at high speed
4575288615.jpg,a blond woman in sunglasses hold a digital camera while a brunette gazes off to the side .
2550731326.jpg,a woman puts some dishes away in the cupboard .
3552491248.jpg,a man relaxes on a fence during sunset .
3323394468.jpg,"a roadwork crew is resurfacing a road at night , wearing high-visibility clothing ."
2084622444.jpg,two african american boys are walking with a ball and bat in a park .
1275693139.jpg,a group of people in line at a music venue .
3015487184.jpg,people are unloading supplies .
7686241792.jpg,a man lifting a large weight and screaming .
3265162450.jpg,three dogs walk together across a snowy field .
4520185597.jpg,a man in a suit and red tie walking down a city sidewalk .
4124718042.jpg,"a little girl with blond ponytails is eating a sausage , with several adults in the background ."
3416925417.jpg,a man in a blue sweatshirt and a child in a tan sweater walk in opposite directions in a crowded metropolitan area .
6075991802.jpg,a little boy rides his bike among shadows next to a round metal table .
3054882305.jpg,three females pose for the camera in a busy street .
6060344876.jpg,a man in blue overalls and a green hat stands in a small boat .
2050956538.jpg,a lot of people on the street in front of large buildings .
2144678775.jpg,a young asian boy is coloring with crayons .
4490635744.jpg,they are here to ensure no one crosses the barriers .
2896483502.jpg,a black and white dog is catching a frisbee
4679525981.jpg,an old lady in a white shirt looks out from a balcony .
7726370800.jpg,two man are performing with there bands .
4764082600.jpg,a driver is operating a street car .
4695983839.jpg,a man in a miniskirt whom is trying to run through a field .
226115048.jpg,a man sitting on a chair with a beer in his hands roasting something to eat on a wooden stick .
2099140476.jpg,a woman wearing purple leg warmers sits on the floor and applies nail polish to her toenails .
2088891100.jpg,a man wearing sunglasses is playing the guitar .
2237363031.jpg,a man is serving drinks to people .
2617242703.jpg,a man wearing denim is welding
5406927495.jpg,the girl in a purple sweater performs on her guitar and passersby stop to listen .
4631909374.jpg,"a man crouches while doing chores , as pigeons wander in the background ."
5522177900.jpg,"a man wearing a tan hat and shirt , an orange safety vest , and dark glasses gestures towards a nearby car ."
4463211241.jpg,a woman with dark hair is sitting down .
233066798.jpg,a crowd of people in red helmets are looking toward an oil well .
257699783.jpg,steers and man enjoying a day at the beach .
4696738955.jpg,a man in a red shirt and brown shorts and a black cap is sitting near a river with a fishing rod in the water .
4436269309.jpg,a person standing next to an old dark building .
2944675019.jpg,a dark-haired lade with glasses and a striped shirt is holding a very young baby in her arms .
4303307651.jpg,a number of people stand around talking at an art gallery .
2502375224.jpg,women playing beach volleyball .
7832183018.jpg,the team swiftly moves their traditional boat down the river .
419147172.jpg,"a reporter in a pinstripe suit , asks questions of an important man in a brown suit on a basketball court , while a cameraman records the interaction ."
311406998.jpg,a group of people gather for dinner .
2341587426.jpg,a little girl playing soccer .
4379578964.jpg,a woman with her arm around another woman 's shoulders .
2063272936.jpg,a man on top of a tiled roof works next to his bucket .
5238492471.jpg,man performing at concert saying thank you to fans .
3310851569.jpg,a band is preparing to go on stage by warming up their routine .
6167479966.jpg,the boston college football team runs onto the field .
2209317.jpg,a group of people wearing black shirts and one in a white shirt watching another person sitting on the ground in front of them .
4745021716.jpg,a woman dances in a hat and purple skirt .
3278811919.jpg,two people hiking up a snow covered mountain
3545427060.jpg,children swimming in brown riverwater .
367925122.jpg,a little girl is turned around in her seat at an event .
3428038648.jpg,a child holds a catcher with a mouse in it .
8832804.jpg,a male cuts a white cake with blue roses .
6077671447.jpg,a woman with brown hair is wearing a brown shirt and navy colored pants and is working on pottery at a table full of unpainted pottery with a chalkboard in the background .
6953886164.jpg,a man in a wetsuit surfing in the middle of a wave .
4031539901.jpg,a bar crowded with patrons .
528500099.jpg,a smiling woman is wearing sunglasses on a day with sparse clouds .
8832804.jpg,a male in a maroon shirt is using a knife to cut a cake .
194464865.jpg,a man in a blue shirt and black shorts has an orange sun visor on his head .
4756089637.jpg,several asian people are looking around a cityscape next to building with large glass windows while two of the men take photographs .
6179361394.jpg,bikers compete in a long winded endurance test .
4552210849.jpg,a man wearing a brown sweater standing next to a fruit stand .
5723818088.jpg,"a man is standing next to a pair of rollerskates , and observing people ."
7283701780.jpg,a racing car is making a wide turn on the dirt track and there is a lot of dust in back of him
1944238257.jpg,youth 's picking up trash along the side of the street .
1600208439.jpg,a dog enjoys playing in the water at the edge of a field .
2971369617.jpg,a woman sticks out her tongue while with a group of friends .
4565935527.jpg,a family standing on a sidewalk smiling .
3262301835.jpg,a man is holding a bus pole in front of a building .
5871970.jpg,three people are trying to clean up the floor in a gym .
387466573.jpg,a man on a bicycle is outside a bicycle shop near a row of bikes .
6476878653.jpg,a man balancing on one hand on a mat .
2158267555.jpg,a woman and young girl stand next to another young girl sitting on a brown pony .
4784988254.jpg,a man is drinking a beer while two children sit on his lap drinking water .
3211453055.jpg,two skiers getting ready to jump off of a ski lift .
6189950649.jpg,a man in a orange jumpsuit picking up garbage along the street .
61372129.jpg,an older man with a long beard sits next to a painting of himself .
2614059468.jpg,a group of people in red shirts and white pants are walking single file down a dirt path in the middle of a field .
2562347802.jpg,the dogs are walking in the desert .
327507526.jpg,a man is carrying a stack of publications .
2136992638.jpg,"two dogs , one brown and one black , playing with each other ."
4811450808.jpg,a woman in a white skirt is standing outside of a building with a man .
3799847884.jpg,a woman is helping a child build using toys .
3244470342.jpg,a snowboarder vaulting over a rock ridge .
4713156011.jpg,dark-skinned individual having a failed high jump attempt .
3387994674.jpg,three guys wearing hats are walking across a crosswalk .
2066048248.jpg,three men are standing around pack horses in front of a red tent up in the mountains .
2076865206.jpg,a man casting a fishing pole .
4739278155.jpg,two police officers and two other men standing with a robot .
217838128.jpg,a man is rowing on his boat through very still water .
2867968184.jpg,the boy is skateboarding .
3663307538.jpg,people in a dimly lit lounge .
4684583424.jpg,a man in a black jacket and blue jeans is walking outside on the sidewalk .
2054584135.jpg,a long trail of many trees draws a path for a walker .
4622915732.jpg,two attractive women stroll down a crowded brick street at night .
2620483456.jpg,a happy little boy bounces down a large balloon slide wearing a red t-shirt and white socks .
3283784058.jpg,a man is standing on top of a snowy hill with his foot tracks behind him .
3632197966.jpg,the motorcyclist race on the course .
4847077399.jpg,many people stand looking a woman holding a dog in a blue sack .
3914077575.jpg,cowboy being thrown off bucking horse .
7772052674.jpg,two guys and one girl are sitting at a table in a bar drinking beer .
6959556104.jpg,a man with a tattoo and headphones in runs wast a series of spectators .
283614756.jpg,a couple laughing and having a good time .
4531042534.jpg,three men pose for a picture at a trade show .
4862877623.jpg,a man rides his bike on one wheel while towing something behind him .
3947925542.jpg,a man with a silver helmet is repairing his bicycle .
7024547933.jpg,"here , kids are using sewing machines ."
12526324.jpg,a child is taking a drink from a large cup with a straw being held by a woman .
2065595152.jpg,a large crowd and camera crew face a sports field .
5821273614.jpg,a mother and son are building a snowman while their dog plays in snow .
2178985121.jpg,a young boy wearing a red shirt is sitting in a store aisle in the toy department .
5718656424.jpg,two young boys play in cardboard boxes .
3364202209.jpg,a woman digs into bowl of food and eats it .
2439813616.jpg,skateboard rider balancing on a rock on his skateboard .
4324717979.jpg,kid skateboarder showing off tricks .
413231421.jpg,dog on leash burrows into snow in rural area .
5789670474.jpg,a man with a black shirt and black pants doing a trick on a skateboard .
1397295388.jpg,people wait for their luggage at the airport .
3910331006.jpg,a man is holding yarn or string .
3659506961.jpg,a little girl in a pink shirt is brushing a horse .
7700377542.jpg,a group of people in purple shirts and tan pants all walking in the same direction .
4964921391.jpg,a boy with glasses wearing a bright yellow shirt is standing in a parking lot .
335530353.jpg,a woman in a black dress with white polka dots speaks into the ear of a man in a white and black shirt holding a drink .
2328104318.jpg,a man writing something down behind a bush .
3357708906.jpg,there are 5 brown dogs on leashes with their owners nearby .
2715035273.jpg,women are walking at night under neon lights .
236518934.jpg,a wet dog is jumping through some water on a beach .
871290646.jpg,a person wearing clown makeup points a fake gun at the camera .
3227594168.jpg,two women laying on grass with a dog .
10101477.jpg,a asian man wearing a white top and baby blue bottoms is using a broom to remove the dirt of the pavement .
5543458745.jpg,a tattooed female guitar player wearing a purple dress hugs and kisses a young girl in a pink dress .
2366306683.jpg,a man in a gray suit is talking in front of a microphone .
3246773992.jpg,"outdoors , girl in orange dress dancing as other dancers huddle in background ."
1402640441.jpg,the little boy in red trunks is attempting to catch a soccer ball that is coming towards him .
3450776690.jpg,a girl in a pink skirt runs holding a her sister .
4490635744.jpg,two officers enjoy stand by as a crowd has gathered behind a barricade .
684375286.jpg,a small black dog is playing tug-of-war with a large brown dog wearing a yellow triangle .
2178985121.jpg,a little boy in a red shirt holding a superman produce and staring at an older man .
400851260.jpg,man walking through the deep snow at dusk .
4411337243.jpg,a lady walking out of a building with a winter jacket on .
3164415865.jpg,sleds sled down the street
2825483885.jpg,an old man rides a bicycle on a country road .
474260313.jpg,a baby breast feeds from a woman in purple .
417951306.jpg,a woman eats dinner with her dog as she sits on the couch and there are four lit candles on the table .
2375924666.jpg,a brown dog plays with a toy bat hanging out its mouth .
4594360209.jpg,a couple dancing in the street .
4437911722.jpg,a man with a red shirt on is standing on a skateboard that is resting on a garbage container .
3489152432.jpg,a little league pitcher wearing glasses beginning his pitching windup during a game .
3280644936.jpg,women at a counter in a laundry mat looking at through her purse .
4560565668.jpg,a man in a brown collared shirt stares off into the distance at a park .
4900336480.jpg,"a man in hiking gear , walking across a shallow waterfall ."
3919655575.jpg,a man in a blue and yellow tracksuit stands on a sports field and watches a big screen .
5522182662.jpg,a boat captain steering a large green wheel .
390892622.jpg,"several youth stand around watching as a banjo player , piano player , and guitar players play in a dirty setting ."
471667964.jpg,a man in a gold skirt sits in front of the computer .
5517849007.jpg,2 elders flower shopping for their husbands grave .
6596861005.jpg,female visitor reading map describing the waterway standing before her .
7166495806.jpg,a man sits at a computer work station beside a woman and uses the computer .
6068604099.jpg,two middle-aged men wearing matching hats are holding bagpipes while looking in the same direction .
2676764246.jpg,three greyhounds racing on a track
3460992366.jpg,a toddler boy with a pacifier and a red shirt plays with a garden hose .
2542293294.jpg,two workers are cleaning a structure at night .
3217899847.jpg,a woman in a beige dress walking down a city street past orhtophonie .
4677106896.jpg,a woman on a bike looks at a boy behind a small tree .
492610243.jpg,many people riding bikes on a path while another person is walking toward them .
2065349349.jpg,doctor treating an injured patient .
4585839343.jpg,a woman is admiring and blowing dandelions on a beautiful spring day .
4584266011.jpg,a photo shoot is talking place with a model standing under an umbrella .
4633900611.jpg,the boxer counters his opponent with a left hook .
21688595.jpg,a girl is dancing with a green skirt and a bra and people are watching .
445140686.jpg,a woman wearing an aqua tank top and purple shorts is rock climbing .
2257238490.jpg,a girl kicking a small ball on the beach and her dog .
4772306571.jpg,"a woman with tattoos and "" punk "" style clothing retrieves her bicycle on a busy street in a commercial district ."
4775132222.jpg,african women looking down at baby on a red blanket .
371769150.jpg,a man wearing a gray jacket and khaki pants stands on dead grass next to a lake .
6989007116.jpg,a pair of men sit outside while one plays the accordion and the other plays a wind instrument .
5676780431.jpg,"a dirt biker wearing dark pants , t-shirt , socks and shoes on a yellow framed bike midair outdoors in front of trees and other jumps ."
4193302193.jpg,a boy in a red shirt climbed to the top of a jungle gym while other children play at the bottom .
34453650.jpg,a homeless man sleeping under a green blanket along side a cement wall .
4484818089.jpg,a man and woman carrying red shopping bags cross the street in front of a large stone building .
7263168156.jpg,a military man with an orange safety vest is behind the wheel of a military vehicle .
4697178028.jpg,a group of girls at talent show .
3584561689.jpg,two men playing basketball under a blue sky
363050622.jpg,"sales man , standing at the counter in a blue and white long-sleeve sweater ."
2589241160.jpg,two dogs run towards each other on a marshy area .
2441818043.jpg,a craftsman is sawing a plank of wood .
435054077.jpg,a young woman sits crosslegged beside her purse on the grass among a crowd of dogs .
2696129516.jpg,several young children on an inflatable device .
6046474576.jpg,young man performs an artistic feat in front of a crowd .
1328411383.jpg,people are walking in the park .
3294964868.jpg,competing skier going down the course leaning to make a sharp turn .
3939554170.jpg,"a smiling girl in a white t-shirt and pink pants , smiling and standing in a contraption ."
6181621171.jpg,"five women , wearing beautiful , colorful saris , in a circle , dancing with their hands raised and touching ."
2345391999.jpg,a swimmer about to start a race .
4663418784.jpg,european city view with a cafe to one side of a beautiful town square .
2791234044.jpg,a young couple showing affection in front of a beer advertisement .
2100816230.jpg,man skiing over a barrel in a snowy area .
4457365934.jpg,the dashboard of a car with a brown dog toy and a pink doll .
3186685756.jpg,a woman in a white shirt plays a black guitar .
2352452459.jpg,"a little girl in cuffed jeans , a long-sleeve pink shirt and no shoes is sleeping on the sofa ."
3323952123.jpg,a lack dog leaps in front of a tree branch in the snow .
403373142.jpg,"a boatman in a coolie hat and purple shirt and a child paddle a small boat over placid , muddy water ."
3938690967.jpg,"a wide view of a chinese building and plaza , with many people walking about ."
4641889254.jpg,a man in a black jacket and a woman with a pink shirt walking under a concrete bridge
6447364125.jpg,woman curler pushes puck down ice while teammate watches .
3085667865.jpg,a person in a wetsuit is in midair while surfing .
4204621843.jpg,"a person walks on a snowy sidewalk , lit by street lamps , at night ."
4450153946.jpg,a guy playing with the ball on the field .
4735812382.jpg,a woman wearing a wedding gown and holding a flower is standing on the brick sidewalk .
4830293194.jpg,a man and woman are riding in a red car .
4725687806.jpg,people walking around in a store shopping .
3710674892.jpg,a boy wearing a life jacket has an apple in his mouth .
4706435859.jpg,a person is floating in the air above a crowd in a city .
3256603992.jpg,a man hiking in the wilderness giving the camera a thumbs up .
2102115587.jpg,a group of asian kids wearing green smocks running .
261391148.jpg,"man on a busy day of work , in the process of completing a construction work ."
3546720729.jpg,a man with a double bass and a man with a mandolin play music .
215806759.jpg,two women walking in an area of destitution .
2089122314.jpg,"a fluffy , tri-colored dog is running down the road with a paper in its mouth ."
3475257782.jpg,a construction crew works on the street .
4865205856.jpg,a young asian boy is giving young asian girl a piggyback ride .
3659769138.jpg,a plane is diving through the sky creating a cloud of smoke behind it .
229189301.jpg,a man with a glass ball being exhibited .
3476381830.jpg,a person wearing a purple shirt stands on a skateboard at the top of a small stairway .
2231052760.jpg,two people on a beach sitting underneath a colorful umbrella .
4859795801.jpg,people are watching a man balance a silver ball on his arms .
2278490028.jpg,eight people enjoying the rafts and waterfall in this swimming hole .
3181075482.jpg,a group eats together at a candle-lit restaurant .
4971580248.jpg,a woman wearing all black and carrying a black bag on sidewalk
4820830153.jpg,vending machines and snacks are on display .
47576069.jpg,a man on a sanitation truck waits for a job to be finished .
2705298070.jpg,two man practicing kung fu fighting while their trainer watches .
260148263.jpg,a man wearing a denim jacket and jeans welds on a bridge above water while wearing his safety mask .
3341117695.jpg,a person in a black top and bicycle helmet gestures while sitting on a bike .
383051932.jpg,"a woman plays a violin , bathed in a reddish light projected through a mesh ."
3497238310.jpg,a group of men stand in a gymnasium with a basketball .
4830307454.jpg,kid wearing white shirt and black hat posing for the camera .
430543100.jpg,a nurse treating a child with cleft palate .
2525228677.jpg,"three men stand next to the water , preparing to grill ."
4691217656.jpg,a man and a woman are walking on a street in front of a statue of a man on a horse .
41253213.jpg,people sit around tables watching intently under a cloth covering .
2269021076.jpg,"a woman with silver pants and pink bellbottoms , and a pink scarf riding her bike by a fence , with buildings in the background ."
178342849.jpg,three men enjoying a good laugh .
3761067976.jpg,a young girl holds flowers in one hand and a basket with a bow in another .
7510394.jpg,a man with a pipe in his mouth looks with his eyebrow raised .
4851225205.jpg,young male looks on as another male sitting on a fence wraps his legs around a female in a zebra styled tank top and skirt .
2581472438.jpg,a male teacher standing in front of a whiteboard on a blue wall .
3608400551.jpg,a man with tatoos playing fetch with a white dog with a black ear
5453936030.jpg,two children with short brown hair are sitting on a coach with two large black and white pillows grinning at the camera .
95021247.jpg,a worker bales a large amount of wool .
4449368922.jpg,a girl in a black shirt sits alone on the ground .
345785626.jpg,"a young man sits on a cliff , watching the ocean ."
3326086533.jpg,a black dog is running on the grass with a pink purse in its mouth .
1928319708.jpg,a person biking on a road near a fence .
2284991229.jpg,parishioners enjoying themselves at a church dinner .
2408570692.jpg,a group of woman discussing the artwork as they wait for the train .
2919459517.jpg,a lone bicyclist wearing a helmet racing in a race .
3972549028.jpg,a man sitting at the beach .
429499185.jpg,three people giving a presentation before a crowd .
8159685070.jpg,front view of a female bike marathon .
6939157103.jpg,three woman sit at a table littered with books and write down things in notebooks .
6046473448.jpg,a pedicab driving sitting on the side and waiting for his next customer .
4241497330.jpg,a man in a green jacket skies down a steep slope on fresh snow .
4687713681.jpg,a young woman in athletic gear is taking her bike on a stroll near a lake .
